word,frequency
belongs,17
fine,103
wit,266
played,8
painter,18
stelled,2
table,55
body,278
wherein,143
’tis,399
perspective,3
painter’s,1
pictured,1
bosom’s,3
shop,13
hanging,40
glazed,3
turns,59
done,705
where-through,1
peep,20
therein,63
cunning,81
want,149
grace,595
favour,129
public,63
titles,23
boast,40
whilst,123
triumph,49
bars,15
princes’,3
favourites,7
spread,34
marigold,2
sun’s,2
pride,125
buried,62
frown,49
glory,93
painful,10
warrior,13
famoused,1
fight,291
thousand,344
victories,6
once,456
foiled,1
book,91
razed,5
rest,378
forgot,92
toiled,1
remove,35
removed,19
lord,2720
vassalage,2
merit,52
duty,159
strongly,31
knit,37
send,259
written,36
embassage,6
witness,128
poor,678
bare,60
wanting,27
words,444
hope,382
soul’s,3
(all,3
naked),1
bestow,51
whatsoever,13
star,49
guides,11
moving,19
points,28
graciously,6
aspect,28
puts,53
apparel,40
loving,126
worthy,235
respect,108
dare,228
toil,32
haste,175
bed,292
respose,1
limbs,47
travel,37
tired,19
begins,66
journey,27
body’s,8
work’s,1
expired,4
thoughts,268
(from,1
far,303
abide),1
intend,54
zealous,6
drooping,10
eyelids,15
open,171
looking,33
darkness,46
blind,87
imaginary,9
presents,21
shadow,86
sightless,6
view,89
jewel,62
(hung,2
ghastly,8
night),1
makes,399
black,174
thus,823
quiet,86
return,208
plight,17
debarred,1
benefit,40
day’s,14
oppression,16
eased,2
oppressed,6
(though,5
enemies,105
either’s,3
reign),1
consent,102
hands,335
torture,33
complain,20
farther,43
off,503
please,411
clouds,67
blot,30
flatter,47
swart-complexioned,1
sparkling,8
twire,1
gild’st,1
daily,32
sorrows,45
nightly,24
grief’s,1
length,40
stronger,41
disgrace,55
beweep,4
outcast,3
trouble,80
deaf,26
bootless,22
cries,76
curse,108
fate,50
wishing,13
featured,1
friends,486
desiring,6
man’s,49
scope,29
enjoy,55
contented,29
these,1409
almost,174
despising,3
haply,47
think,1050
(like,2
lark,26
break,266
arising,1
sullen,19
earth),1
hymns,4
gate,66
wealth,75
brings,58
scorn,103
kings,130
sessions,3
summon,15
sigh,61
lack,99
sought,46
woes,61
drown,47
(unused,1
flow),1
precious,81
hid,49
dateless,4
afresh,5
cancelled,1
woe,162
moan,23
expense,19
vanished,5
grieve,42
grievances,7
foregone,4
heavily,13
sad,185
account,46
fore-bemoaned,1
paid,64
while,277
(dear,3
friend),2
losses,16
restored,7
endeared,3
hearts,183
lacking,6
supposed,20
dead,591
reigns,15
holy,207
obsequious,8
tear,87
religious,21
stol’n,13
interest,32
appear,137
hidden,11
lie,332
hung,26
trophies,7
lovers,60
images,12
loved,55
they),1
survive,13
well-contented,1
bones,84
dust,65
re-survey,2
deceased,5
lover,60
bett’ring,1
outstripped,1
reserve,10
exceeded,4
vouchsafe,54
’had,1
friend’s,4
grown,57
growing,32
dearer,26
birth,89
brought,219
march,117
ranks,20
better,627
equipage,2
died,115
poets,6
style,19
i’ll,525
love’,2
full,448
glorious,48
morning,136
seen,283
mountain,35
tops,12
sovereign,146
kissing,27
meadows,3
pale,149
streams,13
alchemy,3
anon,135
permit,14
basest,14
ride,59
ugly,30
rack,16
celestial,20
forlorn,23
visage,35
hide,118
stealing,19
unseen,25
west,35
early,56
morn,45
shine,52
triumphant,14
splendour,4
alack,79
hour,309
region,17
cloud,30
masked,5
whit,19
disdaineth,2
suns,11
stain,48
staineth,2
didst,190
promise,109
forth,401
cloak,29
base,174
o’ertake,2
hiding,12
brav’ry,1
rotten,42
smoke,26
enough,327
dry,75
storm-beaten,1
salve,13
speak,1181
heals,1
wound,86
cures,11
physic,39
grief,242
repent,60
loss,124
offender’s,1
sorrow,223
weak,118
relief,14
bears,113
offence’s,2
cross,70
tears,322
pearl,28
sheds,4
ransom,53
deeds,124
grieved,9
roses,37
thorns,16
silver,77
fountains,5
mud,10
eclipses,5
both,668
loathsome,22
canker,20
sweetest,27
faults,104
authorizing,1
trespass,24
corrupting,3
salving,1
amiss,37
excusing,2
sins,40
sensual,4
fault,175
bring,486
sense,131
adverse,12
party,48
advocate,9
lawful,65
plea,11
commence,7
civil,51
accessary,4
needs,155
thief,71
sourly,3
robs,9
confess,125
two,739
twain,44
although,84
our,3290
undivided,1
loves,214
blots,8
remain,73
help,334
separable,1
spite,67
alter,19
sole,29
steal,86
delight,75
evermore,26
acknowledge,19
lest,155
bewailed,1
guilt,33
kindness,56
take,1283
name,694
sort,70
report,153
decrepit,4
active,7
lame,18
fortune’s,19
dearest,59
comfort,201
whether,109
entitled,1
crowned,22
sit,227
engrafted,1
despised,15
sufficed,1
subject,105
invent,9
pour’st,3
into,675
argument,70
excellent,127
vulgar,24
paper,89
thanks,172
aught,79
perusal,2
who’s,23
cannot,816
invention,31
tenth,9
nine,59
rhymers,2
invocate,3
outlive,18
slight,30
curious,16
pain,77
manners,74
is’t,54
us,1738
divided,19
separation,5
deserv’st,1
absence,57
torment,33
sour,36
leisure,65
entertain,44
teachest,5
praising,12
yea,193
hadst,106
receivest,2
blame,92
usest,5
blamed,4
deceivest,1
wilful,14
taste,92
refusest,1
forgive,77
robbery,8
poverty,24
greater,101
hate’s,2
known,195
injury,31
lascivious,15
kill,227
spites,3
foes,80
pretty,133
wrongs,75
liberty,82
absent,34
years,182
befits,10
temptation,5
follows,68
won,102
assailed,4
woos,7
prevailed,1
ay,768
mightst,29
seat,62
forbear,60
straying,5
lead,154
riot,15
forced,18
twofold,5
hers,54
tempting,6
said,410
dearly,45
wailing,8
nearly,6
offenders,11
ye,336
because,198
know’st,26
sake,187
suff’ring,1
friend,467
approve,27
gain,68
losing,24
found,238
lay,300
here’s,67
flattery,24
wink,32
unrespected,2
sleep,264
dreams,45
darkly,8
dark,90
directed,13
shadows,33
shadow’s,2
clear,70
clearer,5
unseeing,2
say),3
imperfect,7
heavy,184
nights,37
dull,98
flesh,142
injurious,17
distance,32
space,33
limits,9
remote,11
matter,363
foot,175
farthest,14
nimble,27
jump,13
sea,234
land,210
soon,155
kills,28
leap,28
large,74
lengths,2
miles,21
water,143
attend,125
receiving,7
elements,25
slow,56
badges,4
purging,3
fire,305
wherever,6
abide,40
present-absent,1
swift,74
motion,85
slide,5
quicker,2
embassy,14
four,150
sinks,6
down,657
melancholy,74
until,79
life’s,6
composition,16
recured,1
messengers,35
returned,10
assured,19
health,108
recounting,2
told,249
straight,168
divide,28
picture’s,1
bar,33
freedom,34
right,374
closet,25
pierced,4
crystal,16
eyes),1
defendant,5
says,248
appearance,13
side,188
title,92
impanelled,1
quest,11
tenants,6
verdict,7
determined,4
eye’s,3
moiety,17
heart’s,19
betwixt,57
league,37
took,166
unto,470
famished,1
sighs,64
smother,9
picture,49
feast,108
banquet,33
bids,70
guest,40
share,32
either,184
present,262
move,104
awakes,5
careful,25
trifle,27
truest,14
thrust,58
falsehood,36
sure,318
wards,6
jewels,32
trifles,17
greatest,54
care,236
prey,49
locked,2
chest,13
feel,108
closure,4
whence,90
thence,102
proves,17
thievish,7
prize,51
(if,7
come),1
defects,7
cast,110
utmost,20
called,36
advised,12
respects,19
strangely,28
pass,149
scarcely,19
greet,45
reasons,65
settled,19
gravity,14
ensconce,3
desert,45
uprear,1
guard,114
laws,39
allege,2
cause,359
seek,237
(my,4
travel’s,1
end),1
teach,118
case,112
repose,28
’thus,1
measured,3
beast,79
plods,1
dully,3
weight,44
instinct,16
wretch,59
rider,12
speed,122
spur,37
provoke,19
sometimes,69
anger,66
thrusts,5
answers,25
groan,39
sharp,77
spurring,4
onward,4
offence,109
bearer,7
posting,4
need,185
extremity,30
mounted,18
winged,14
horse,236
pace,33
(of,3
perfect’st,1
made),1
neigh,7
(no,1
flesh),1
fiery,47
race,18
jade,13
going,107
went,108
wilful-slow,1
towards,75
run,205
key,29
up-locked,1
survey,15
blunting,2
point,146
seldom,34
feasts,18
solemn,42
set,499
stones,62
thinly,3
placed,13
captain,132
carcanet,2
wardrobe,6
robe,22
special,37
instant,64
special-blest,1
unfolding,3
imprisoned,5
worthiness,16
lacked,3
whereof,86
millions,9
strange,266
tend,27
describe,2
adonis,19
poorly,8
imitated,2
helen’s,5
cheek,87
grecian,39
tires,7
foison,5
external,7
deem,10
odour,6
blooms,1
dye,12
perfumed,4
tincture,2
hang,177
wantonly,1
breath,239
discloses,1
virtue,200
unwooed,1
deaths,22
odours,5
distills,1
marble,17
gilded,21
monuments,8
powerful,15
contents,35
unswept,3
stone,63
besmeared,1
sluttish,5
statues,4
overturn,1
broils,12
root,48
masonry,2
mars,50
sword,356
war’s,2
quick,107
record,25
all-oblivious,1
enmity,19
room,160
ending,15
judgment,90
arise,40
lovers’,7
renew,13
force,122
edge,44
blunter,1
appetite,43
to-day,112
